"flower_id","flower_name","file","source_url","photographer","downloaded_at","license_note"
"118","ヘメロカリス","images/flowers/v8/118.jpg","https://images.pexels.com/photos/33825689/pexels-photo-33825689.jpeg","","2026-04-15","Pexels License"
"119","グラジオラス","images/flowers/v7/119.jpg","https://www.pexels.com/photo/gladiolus-in-close-up-photography-9558802/","","2026-04-15","Pexels License"
"120","バーベナ","images/flowers/v7/120.jpg","https://www.pexels.com/photo/vibrant-purple-verbena-flower-on-rustic-wood-33286293/","","2026-04-15","Pexels License"
"121","エリンジウム","images/flowers/v7/121.jpg","https://www.pexels.com/photo/crop-young-woman-with-violet-eryngium-plant-4348038/","","2026-04-15","Pexels License"
"122","アスチルベ","images/flowers/v7/122.jpg","https://www.pexels.com/photo/pink-astilbe-flowers-in-lush-garden-setting-28943964/","","2026-04-15","Pexels License"
"123","ペンタス","images/flowers/v7/123.jpg","https://www.pexels.com/photo/blooming-purple-pentas-in-vibrant-brazilian-garden-33247350/","","2026-04-15","Pexels License"
"124","クフェア","images/flowers/v7/124.jpg","https://www.pexels.com/photo/cupheas-flowers-in-close-up-view-15725426/","","2026-04-15","Pexels License"
"125","シバザクラ","images/flowers/v7/125.jpg","https://www.pexels.com/photo/close-up-of-purple-moss-phlox-11650894/","","2026-04-15","Pexels License"
"126","フクジュソウ","images/flowers/v7/126.jpg","https://www.pexels.com/photo/adonis-blue-butterfly-on-flower-26690965/","","2026-04-15","Pexels License"
"127","ミモザ","images/flowers/v7/127.jpg","https://www.pexels.com/photo/mimosa-flowers-in-close-up-photography-6261553/","","2026-04-15","Pexels License"
"128","ブルーサルビア","images/flowers/v7/128.jpg","https://www.pexels.com/photo/vibrant-hummingbird-feeding-on-blue-salvia-33494382/","","2026-04-15","Pexels License"
"129","コルチカム","images/flowers/v8/129.jpg","https://images.pexels.com/photos/35657115/pexels-photo-35657115.jpeg","","2026-04-15","Pexels License"
"130","ヒメジョオン","images/flowers/v7/130.jpg","https://www.pexels.com/photo/a-close-up-shot-of-erigeron-annuus-flowers-6185725/","","2026-04-15","Pexels License"
"131","ミニバラ","images/flowers/v7/131.jpg","https://www.pexels.com/photo/photo-of-roses-on-flower-vase-2300713/","","2026-04-15","Pexels License"
"132","モクレン","images/flowers/v7/132.jpg","https://www.pexels.com/photo/close-up-photography-of-magnolia-flowers-1117031/","","2026-04-15","Pexels License"
"133","ハマナス","images/flowers/v7/133.jpg","https://www.pexels.com/photo/red-rose-flower-on-body-of-water-3041112/","","2026-04-15","Pexels License"
"134","カンナ","images/flowers/v7/134.jpg","https://www.pexels.com/photo/close-up-photo-of-a-canna-lily-flower-7227827/","","2026-04-15","Pexels License"
"135","ベルガモット","images/flowers/v7/135.jpg","https://www.pexels.com/photo/close-up-of-purple-bergamot-flower-13419179/","","2026-04-15","Pexels License"
"136","ルドベキア","images/flowers/v7/136.jpg","https://www.pexels.com/photo/bright-yellow-rudbeckia-flower-in-full-bloom-31639546/","","2026-04-15","Pexels License"
"137","サンタンカ","images/flowers/v7/137.jpg","https://www.pexels.com/photo/vibrant-red-ixora-flower-in-lush-garden-setting-28520727/","","2026-04-15","Pexels License"
"138","ユキノシタ","images/flowers/v7/138.jpg","https://www.pexels.com/photo/white-flowers-of-pyramidal-saxifrage-15485140/","","2026-04-15","Pexels License"
"139","ノースポール","images/flowers/v7/139.jpg","https://www.pexels.com/photo/close-up-shot-of-blooming-marguerite-daisy-flowers-12452385/","","2026-04-15","Pexels License"
"140","バコパ","images/flowers/v7/140.jpg","https://www.pexels.com/photo/lush-green-bacopa-plant-with-white-flowers-32761885/","","2026-04-15","Pexels License"
"141","キンギョソウ","images/flowers/v7/141.jpg","https://www.pexels.com/photo/one-white-snapdragon-flower-7301726/","","2026-04-15","Pexels License"
"142","ヤグルマギク","images/flowers/v7/142.jpg","https://www.pexels.com/photo/cornflower-petals-and-flower-head-scattered-13786299/","","2026-04-15","Pexels License"
"143","オステオスペルマム","images/flowers/v7/143.jpg","https://www.pexels.com/photo/close-up-of-pink-osteospermum-flower-blossom-36326182/","","2026-04-15","Pexels License"
"144","ヘリクリサム","images/flowers/v7/144.jpg","https://www.pexels.com/photo/close-up-of-yellow-helichrysum-flowers-in-bloom-36536243/","","2026-04-15","Pexels License"
"145","ガザニア","images/flowers/v7/145.jpg","https://www.pexels.com/photo/vibrant-gazania-flowers-in-bloom-32256955/","","2026-04-15","Pexels License"
"146","ペラルゴニウム","images/flowers/v7/146.jpg","https://www.pexels.com/photo/close-up-of-pink-pelargonium-flower-in-bloom-36737736/","","2026-04-15","Pexels License"
"147","アリッサム","images/flowers/v7/147.jpg","https://www.pexels.com/photo/close-up-of-white-alyssum-flowers-in-bloom-30575296/","","2026-04-15","Pexels License"
"148","カスミアジサイ","images/flowers/v7/148.jpg","https://www.pexels.com/photo/close-up-of-hydrangea-16037487/","","2026-04-15","Pexels License"
"149","モナルダ","images/flowers/v7/149.jpg","https://www.pexels.com/photo/close-up-of-vibrant-pink-monarda-flower-in-bloom-35164356/","","2026-04-15","Pexels License"
"150","キバナコスモス","images/flowers/v7/150.jpg","https://www.pexels.com/photo/sulfur-cosmos-flower-on-a-yellow-surface-8793835/","","2026-04-15","Pexels License"
"151","トケイソウ","images/flowers/v7/151.jpg","https://www.pexels.com/photo/close-up-of-a-passionflower-in-bloom-35675177/","","2026-04-15","Pexels License"
"152","ゼフィランサス","images/flowers/v7/152.jpg","https://www.pexels.com/photo/close-up-of-white-zephyranthes-flowers-in-bloom-36637998/","","2026-04-15","Pexels License"
"153","シラン","images/flowers/v8/153.jpg","https://images.pexels.com/photos/33692740/pexels-photo-33692740.jpeg","","2026-04-15","Pexels License"
"154","ニオイバンマツリ","images/flowers/v7/154.jpg","https://www.pexels.com/photo/close-up-of-brunfelsia-flowers-in-bloom-36575469/","","2026-04-15","Pexels License"
"155","ユーフォルビア","images/flowers/v7/155.jpg","https://www.pexels.com/photo/close-up-photography-of-euphorbia-786811/","","2026-04-15","Pexels License"
"156","アスクレピアス","images/flowers/v7/156.jpg","https://www.pexels.com/photo/tirumala-hamata-butterfly-sitting-on-asclepias-lanceolata-flowers-in-garden-4595089/","","2026-04-15","Pexels License"
"157","フロックス","images/flowers/v7/157.jpg","https://www.pexels.com/photo/close-up-of-white-phlox-flowers-in-bloom-31810502/","","2026-04-15","Pexels License"
"158","ルリタマアザミ","images/flowers/v7/158.jpg","https://www.pexels.com/photo/close-up-of-echinops-flower-head-on-green-background-33093395/","","2026-04-15","Pexels License"
"159","アジュガ","images/flowers/v8/159.jpg","https://images.pexels.com/photos/36984070/pexels-photo-36984070.jpeg","","2026-04-15","Pexels License"
"160","ラグラス","images/flowers/v8/160.jpg","https://images.pexels.com/photos/8809775/pexels-photo-8809775.jpeg","","2026-04-15","Pexels License"
"161","フランネルフラワー","images/flowers/v8/161.jpg","https://images.pexels.com/photos/35153783/pexels-photo-35153783.jpeg","","2026-04-15","Pexels License"
"162","マトリカリア・ダブルラテ","images/flowers/v8/162.jpg","https://images.pexels.com/photos/14081737/pexels-photo-14081737.jpeg","","2026-04-15","Pexels License"
